,Scheme,Category,Type,Benchmark,Rating,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
0,Kotak Corporate Bond Fund(M-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,5,1035.21,5.05,3.69,5.29,5000.0,0.67,"1,000.00"
1,Kotak Corporate Bond Fund(G), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,5,3133.58,5.05,3.69,5.32,5000.0,0.67,"1,000.00"
2,Aditya Birla SL Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,5,100.2,5.21,4.10,4.45,1000.0,0.34,N/A
3,Aditya Birla SL Liquid Fund(G), Debt - Liquid Fund, Open ended, N/A,5,356.66,5.21,4.17,5.28,1000.0,0.34,"1,000.00"
4,Aditya Birla SL Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,100.34,5.10,4.08,4.43,1000.0,0.34,N/A
5,Aditya Birla SL Money Manager Fund(W-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,100.18,6.15,5.19,5.01,1000.0,0.33,"1,000.00"
6,Aditya Birla SL Money Manager Fund(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,100.02,6.16,5.18,4.99,1000.0,0.33,"1,000.00"
7,Aditya Birla SL Money Manager Fund(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,309.99,6.15,5.18,5.08,1000.0,0.33,"1,000.00"
8,Aditya Birla SL Corp Bond Fund(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,5,93.46,5.76,4.27,6.25,1000.0,0.47,"1,000.00"
9,Aditya Birla SL Corp Bond Fund(M-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,5,12.23,5.76,4.27,6.15,1000.0,0.47,"1,000.00"
10,Aditya Birla SL Savings Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,5,100.0,5.96,5.02,5.08,1000.0,0.52,"1,000.00"
11,Aditya Birla SL Savings Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,5,460.06,5.96,5.04,5.16,1000.0,0.52,"1,000.00"
12,Aditya Birla SL Savings Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,5,100.42,5.77,4.94,5.04,1000.0,0.52,"1,000.00"
13,Canara Rob Emerg Equities Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,5,160.64,-0.28,15.38,11.05,5000.0,1.71,"1,000.00"
14,Canara Rob Emerg Equities Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,5,60.67,-0.31,15.37,10.74,5000.0,1.71,"1,000.00"
15,DSP Savings Fund-Reg(G), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,44.45,5.82,4.37,4.48,1000.0,0.51,"1,000.00"
16,DSP Savings Fund-Reg(M-IDCW Reinv), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,5,10.84,5.82,4.37,4.43,1000.0,Nil,N/A
17,DSP Liquidity Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A,5,3161.39,5.20,4.13,5.21,1000.0,0.27,"1,000.00"
18,DSP Liquidity Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A,5,1000.9,5.20,4.05,4.39,1000.0,0.27,"1,000.00"
19,DSP Midcap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,22.75,-2.60,11.27,8.16,1000.0,1.76,"1,000.00"
20,DSP Midcap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,85.55,-2.62,11.75,8.73,1000.0,1.76,"1,000.00"
21,PGIM India Emerging Markets Equity Fund(G), FoFs (Overseas), Open ended, MSCI EMU Index,5,11.89,-24.34,-7.16,-2.90,5000.0,2.38,N/A
22,Franklin India Focused Equity Fund(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,5,29.95,5.81,18.42,11.54,5000.0,1.87,"1,000.00"
23,Franklin India Focused Equity Fund(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,5,70.25,5.81,18.42,11.97,5000.0,1.87,"1,000.00"
24,Franklin India Prima Fund(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,65.99,4.61,14.89,8.65,5000.0,1.89,"1,000.00"
25,Franklin India Prima Fund(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,5,1515.19,4.61,14.89,8.87,5000.0,1.89,"1,000.00"
26,IDFC Cash Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1001.08,5.21,4.04,4.34,1000.0,0.25,"1,000.00"
27,IDFC Cash Fund-Reg(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,2677.77,5.18,4.08,5.13,1000.0,0.25,"1,000.00"
28,IDFC Cash Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1003.32,5.18,4.00,4.32,1000.0,0.25,"1,000.00"
29,IDFC Cash Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,5,1002.09,5.18,4.02,4.33,1000.0,0.25,"1,000.00"
30,IDFC Money Manager Fund-Reg(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,10.1,5.33,4.36,3.93,1000.0,0.93,"1,000.00"
31,IDFC Money Manager Fund-Reg(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,34.17,5.29,4.37,3.99,1000.0,0.93,"1,000.00"
32,IDFC Money Manager Fund-Reg(M-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,10.28,5.30,4.37,3.92,1000.0,0.93,"1,000.00"
33,IDFC Money Manager Fund-Reg(W-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,10.13,5.30,4.37,3.95,1000.0,0.93,"1,000.00"
34,IDFC Bond Fund - Short Term Plan-Reg(FN-IDCW), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,5,10.43,4.36,2.86,4.75,1000.0,0.77,"1,000.00"
35,IDFC Bond Fund - Short Term Plan-Reg(G), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,5,47.7,4.42,2.89,4.86,1000.0,0.77,"1,000.00"
36,IDFC Bond Fund - Short Term Plan-Reg(M-IDCW), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,5,10.38,4.42,2.89,4.74,1000.0,0.77,"1,000.00"
37,HDFC Money Market Fund(DD-IDCW Reinv), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,1063.64,6.00,5.06,4.94,1000.0,Nil,N/A
38,HDFC Money Market Fund(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,4798.55,6.04,5.08,5.03,1000.0,0.41,"1,000.00"
39,HDFC Money Market Fund(W-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,5,1063.59,6.07,5.08,4.99,1000.0,Nil,N/A
